Brand,Category,Size,Item Name,Price,Imagekit URL
Miranda,Drinks,750ml,Miranda,40,https://ik.imagekit.io/foodclub/Grocery/Products/More%20Products/Miranda.webp?updatedAt=1762538927284
Miranda,Drinks,250ml,Miranda,20,https://ik.imagekit.io/foodclub/Grocery/Products/More%20Products/Miranda.webp?updatedAt=1762538927284
Miranda,Drinks Can,330ml,Miranda Can,70,https://ik.imagekit.io/foodclub/Grocery/Products/More%20Products/Miranda%20Can.webp?updatedAt=1762538927190
Thums Up,Drinks,250ml,Thums Up 250ml,20,https://ik.imagekit.io/foodclub/Grocery/Products/More%20Products/Thums%20Up%20250ml.webp?updatedAt=1762538927297
Thums Up,Drinks,750ml,Thums Up,40,https://ik.imagekit.io/foodclub/Grocery/Products/Drinks/More/Thums%20Up/Thums%20Up.png?updatedAt=1762602184500
Thums Up,Drinks Can,300ml,Thums Up Can,40,https://ik.imagekit.io/foodclub/Grocery/Products/Drinks/More/Thums%20Up/Thums%20Up%20Can.webp?updatedAt=1762602184589
Coca Cola,Drinks,250ml ,Coca Cola 20,20,https://ik.imagekit.io/foodclub/Grocery/Products/Drinks/More/Coca%20Cola/Coca%20Cola%2020.avif?updatedAt=1762602184613
Coca Cola,Drinks,750ml,Coca Cola Orignal Taste,40,https://ik.imagekit.io/foodclub/Grocery/Products/Drinks/More/Coca%20Cola/Coca%20Cola.jpg?updatedAt=1762602184403
Coca Cola,Drinks Can,330ml,Coca Cola Can,40,https://ik.imagekit.io/foodclub/Grocery/Products/More%20Products/Coca%20Cola%20Can.webp?updatedAt=1762538927180
Coca Cola,Drinks Can,300ml,Diet Coke Can,40,https://ik.imagekit.io/foodclub/Grocery/Products/More%20Products/Diet%20Coke%20Can.webp?updatedAt=1762538927049
,,,,,
Mountain Dew,Drinks,400ml,Mountain Dew ,20,https://ik.imagekit.io/foodclub/Grocery/Products/More%20Products/Mountain%20Dew%20.webp?updatedAt=1762539075903
Mountain Dew,Drinks,750ml,Mountain Dew,40,https://ik.imagekit.io/foodclub/Grocery/Products/More%20Products/Mountain%20Dew%20400ml.webp?updatedAt=1762538927183
Mountain Dew,Drinks,330ml,Mountain Dew Can,70,https://ik.imagekit.io/foodclub/Grocery/Products/Drinks/More/Mountain%20Dew/Mountain%20Dew%20Can.webp?updatedAt=1762602184550
Pepsi,Drinks,750ml,Pepsi,40,https://ik.imagekit.io/foodclub/Grocery/Products/Drinks/More/Pepsi/Pepsi.webp?updatedAt=1762602184596
Pepsi,Drinks Can,330ml,Pepsi Can,70,https://ik.imagekit.io/foodclub/Grocery/Products/Drinks/More/Pepsi/Pepsi%20Can.webp?updatedAt=1762602184541
Predator,Drinks Can,300ml,Predator,60,https://ik.imagekit.io/foodclub/Grocery/Products/Drinks/More/Predator.avif?updatedAt=1762602455426
Cream Bell,Milk Drink,180ml,Coffee Milk Shake,28,https://ik.imagekit.io/foodclub/Grocery/Products/Drinks/More/Cream%20Bell/Coffee%20Milk%20Shake.webp?updatedAt=1762602184135
Cream Bell,Milk Drink,180ml,Choco Milk Shake,28,https://ik.imagekit.io/foodclub/Grocery/Products/Drinks/More/Cream%20Bell/Choco%20Milk%20Shake.jpeg?updatedAt=1762602184011
Cream Bell,Milk Drink,180ml,Kesar Badam Milk Shake,20,https://ik.imagekit.io/foodclub/Grocery/Products/Drinks/More/Cream%20Bell/Kesar%20Badam%20Milk%20Shake.avif?updatedAt=1762602184607
Tropicana,Drinks,500ml,Mixed Fruit Magic,30,https://ik.imagekit.io/foodclub/Grocery/Products/Drinks/More/Tropicana/Mixed%20Fruit%20Magic.webp?updatedAt=1762602184557
Tropicana,Drinks,500ml,Guava Delight,30,https://ik.imagekit.io/foodclub/Grocery/Products/Drinks/More/Tropicana/Guava%20Delight.jpeg?updatedAt=1762602184461
Fanta,Drinks,250ml,Fanta,20,https://ik.imagekit.io/foodclub/Grocery/Products/Drinks/More/Fanta.avif?updatedAt=1762602184050
Frooti,Drinks,300ml,Frooti,20,https://ik.imagekit.io/foodclub/Grocery/Products/Drinks/More/Frooti/Frooti.webp?updatedAt=1762602272579
Limca,Drinks,250ml ,Limca,20,https://ik.imagekit.io/foodclub/Grocery/Products/Drinks/More/Limca/Limca.webp?updatedAt=1762602255615
Paper Boat,Drinks,250ml,Swing Mixed Fruit Medley,20,https://ik.imagekit.io/foodclub/Grocery/Products/Drinks/More/Paper%20Boat/Swing%20Mixed%20Fruit%20Medley.webp?updatedAt=1762602212268
Paper Boat,Drinks,250ml,Swing Yummy Guava,20,https://ik.imagekit.io/foodclub/Grocery/Products/Drinks/More/Paper%20Boat/Swing%20Yummy%20Guava.webp?updatedAt=1762602212268
Paper Boat,Drinks,250ml,Swing Zesty Pomogranate,20,https://ik.imagekit.io/foodclub/Grocery/Products/Drinks/More/Paper%20Boat/Swing%20Zesty%20Pomogranate.webp?updatedAt=1762602212289
Paper Boat,Drinks,250ml,Swing Coconut Water,20,https://ik.imagekit.io/foodclub/Grocery/Products/Drinks/More/Paper%20Boat/Swing%20Coconut%20Water.webp?updatedAt=1762602211819
Paper Boat,Drinks,250ml,Zero Sparkling Water Green Apple,20,https://ik.imagekit.io/foodclub/Grocery/Products/Drinks/More/Paper%20Boat/Zero%20Sparkling%20Water%20Green%20Apple.webp?updatedAt=1762602211812
Paper Boat,Drinks,250ml,Zero Sparkling Water Lemon Lime,20,https://ik.imagekit.io/foodclub/Grocery/Products/Drinks/More/Paper%20Boat/Zero%20Sparkling%20Water%20Lemon%20Lime.jpeg?updatedAt=1762602212115
Paper Boat,Drinks,250ml,Swing Lush Lychee,20,https://ik.imagekit.io/foodclub/Grocery/Products/Drinks/More/Paper%20Boat/Swing%20Lush%20Lychee.jpg?updatedAt=1762602212204
Sting,Drinks,250ml,Sting,20,https://ik.imagekit.io/foodclub/Grocery/Products/Drinks/Sting/Sting.webp?updatedAt=1762600882575
Sting,Drinks,250ml,Sting Gold Night Fuel,20,https://ik.imagekit.io/foodclub/Grocery/Products/Drinks/Sting/Sting%20Gold%20Night%20Fuel.webp?updatedAt=1762600882578
Lahori Zeera,Drinks,300ml,Lahori Zeera,20,https://ik.imagekit.io/foodclub/Grocery/Products/Drinks/Lahori%20Zeera/Lahori%20Zeera.jpg?updatedAt=1762600882479
,,,,,
Alo Fruit,Drinks,200ml,Mixed Fruit,30,https://ik.imagekit.io/foodclub/Grocery/Products/Drinks/Alo%20Fruit/Mixed%20Fruit.webp?updatedAt=1762600882203
Alo Fruit,Drinks,200ml,Orange,30,https://ik.imagekit.io/foodclub/Grocery/Products/Drinks/Alo%20Fruit/Orange.webp?updatedAt=1762600882530
Alo Fruit,Drinks,200ml,Mango,30,https://ik.imagekit.io/foodclub/Grocery/Products/Drinks/Alo%20Fruit/Mango.webp?updatedAt=1762600882543
